id|code|book|chapter|verse|end|text
GEN.1.1|GEN|Genesis|2|1|1|In den beginne schiep God de hemel en de aarde.
GEN.1.2|GEN|Genesis|2|2|2|De aarde nu was woest en ledig, en duisternis was op de afgrond; en de Geest Gods zweefde op de wateren.
GEN.1.3|GEN|Genesis|2|3|3|En God zeide: Daar zij licht! en daar werd licht.
GEN.1.4|GEN|Genesis|2|4|4|En God zag het licht, dat het goed was; en God maakte scheiding tussen het licht en tussen de duisternis.
GEN.1.5|GEN|Genesis|2|5|5|En God noemde het licht dag, en de duisternis noemde Hij nacht. Toen was het avond geweest, en het was morgen geweest, de eerste dag.
GEN.1.6|GEN|Genesis|2|6|6|En God zeide: Daar zij een uitspansel in het midden der wateren; en dat make scheiding tussen wateren en wateren!
GEN.1.7|GEN|Genesis|2|7|7|En God maakte dat uitspansel, en maakte scheiding tussen de wateren, die onder het uitspansel zijn, en tussen de wateren, die boven het uitspansel zijn. En het was alzo.
GEN.1.8|GEN|Genesis|2|8|8|En God noemde het uitspansel hemel. Toen was het avond geweest, en het was morgen geweest, de tweede dag.
GEN.1.9|GEN|Genesis|2|9|9|En God zeide: Dat de wateren van onder de hemel in een plaats vergaderd worden, en dat het droge gezien worde! En het was alzo.
GEN.1.10|GEN|Genesis|2|10|10|En God noemde het droge aarde, en de vergadering der wateren noemde Hij zeeën; en God zag, dat het goed was.
GEN.1.11|GEN|Genesis|2|11|11|En God zeide: Dat de aarde uitschiete grasscheutjes, zaadzaaiend kruid, vruchtbaar geboomte, dragende vrucht naar zijn aard, welks zaad daarin zij op de aarde! En het was alzo.
GEN.1.12|GEN|Genesis|2|12|12|En de aarde bracht voort grasscheutjes, zaadzaaiend kruid naar zijn aard, en vruchtdragend geboomte, welks zaad daarin was, naar zijn aard. En God zag, dat het goed was.
GEN.1.13|GEN|Genesis|2|13|13|Toen was het avond geweest, en het was morgen geweest, de derde dag.
GEN.1.14|GEN|Genesis|2|14|14|En God zeide: Dat er lichten zijn in het uitspansel des hemels, om scheiding te maken tussen de dag en tussen de nacht; en dat zij zijn tot tekenen en tot gezette tijden, en tot dagen en jaren!
GEN.1.15|GEN|Genesis|2|15|15|En dat zij zijn tot lichten in het uitspansel des hemels, om licht te geven op de aarde! En het was alzo.
GEN.1.16|GEN|Genesis|2|16|16|God dan maakte die twee grote lichten; dat grote licht tot heerschappij des daags, en dat kleine licht tot heerschappij des nachts; ook de sterren.
GEN.1.17|GEN|Genesis|2|17|17|En God stelde ze in het uitspansel des hemels, om licht te geven op de aarde.
GEN.1.18|GEN|Genesis|2|18|18|En om te heersen op de dag, en in de nacht, en om scheiding te maken tussen het licht en tussen de duisternis. En God zag, dat het goed was.
GEN.1.19|GEN|Genesis|2|19|19|Toen was het avond geweest, en het was morgen geweest, de vierde dag.
GEN.1.20|GEN|Genesis|2|20|20|En God zeide: Dat de wateren overvloedig voortbrengen een gewemel van levende zielen ; en het gevogelte vliege boven de aarde, in het uitspansel des hemels!
GEN.1.21|GEN|Genesis|2|21|21|En God schiep de grote walvissen, en alle levende wriemelende ziel, welke de wateren overvloedig voortbrachten, naar haar aard; en alle gevleugeld gevogelte naar zijn aard. En God zag, dat het goed was.
GEN.1.22|GEN|Genesis|2|22|22|En God zegende ze, zeggende: Weest vruchtbaar, en vermenigvuldigt, en vervult de wateren in de zeeën; en het gevogelte vermenigvuldige op de aarde!
GEN.1.23|GEN|Genesis|2|23|23|Toen was het avond geweest, en het was morgen geweest, de vijfde dag.
GEN.1.24|GEN|Genesis|2|24|24|En God zeide: De aarde brenge levende zielen voort, naar haar aard, vee, en kruipend, en wild gedierte der aarde, naar zijn aard! En het was alzo.
GEN.1.25|GEN|Genesis|2|25|25|En God maakte het wild gedierte der aarde naar zijn aard, en het vee naar zijn aard, en al het kruipend gedierte van de aardbodem naar zijn aard. En God zag, dat het goed was.
GEN.1.26|GEN|Genesis|2|26|26|En God zeide: Laat Ons mensen maken, naar Ons beeld, naar Onze gelijkenis; en dat zij heerschappij hebben over de vissen der zee, en over het gevogelte des hemels, en over het vee, en over de gehele aarde, en over al het kruipend gedierte, dat op de aarde kruipt.
GEN.1.27|GEN|Genesis|2|27|27|En God schiep de mens naar Zijn beeld; naar het beeld van God schiep Hij hem; man en vrouw schiep Hij ze.
GEN.1.28|GEN|Genesis|2|28|28|En God zegende hen, en God zeide tot hen: Weest vruchtbaar, en vermenigvuldigt, en vervult de aarde, en onderwerpt haar, en hebt heerschappij over de vissen der zee, en over het gevogelte des hemels, en over al het gedierte, dat op de aarde kruipt!
GEN.1.29|GEN|Genesis|2|29|29|En God zeide: Ziet, Ik heb u al het zaadzaaiende kruid gegeven, dat op de ganse aarde is, en alle geboomte, waarin zaadzaaiende boomvrucht is; het zij u tot spijs!
GEN.1.30|GEN|Genesis|2|30|30|Maar aan al het gedierte der aarde, en aan al het gevogelte des hemels, en aan al het kruipende gedierte op de aarde, waarin een levende ziel is, heb Ik al het groene kruid tot spijs gegeven . En het was alzo.
GEN.1.31|GEN|Genesis|2|31|31|En God zag al wat Hij gemaakt had, en ziet, het was zeer goed. Toen was het avond geweest, en het was morgen geweest, de zesde dag.
GEN.2.1|GEN|Genesis|3|1|1|Alzo zijn volbracht de hemel en de aarde, en al hun heer.
GEN.2.2|GEN|Genesis|3|2|2|Toen nu God op de zevende dag volbracht had Zijn werk, dat Hij gemaakt had, heeft Hij gerust op de zevende dag van al Zijn werk, dat Hij gemaakt had.
GEN.2.3|GEN|Genesis|3|3|3|En God heeft de zevende dag gezegend, en die geheiligd; omdat Hij daarop gerust heeft van al Zijn werk, dat God geschapen had, om te volmaken.
GEN.2.4|GEN|Genesis|3|4|4|Dit zijn de geboorten des hemels en der aarde, toen zij geschapen werden; ten dage als de Heere God de aarde en de hemel maakte.
GEN.2.5|GEN|Genesis|3|5|5|En alle struik des velds, eer hij in de aarde was, en al het kruid des velds, eer het uitsproot; want de Heere God had niet doen regenen op de aarde, en er was geen mens geweest, om de aardbodem te bouwen.
GEN.2.6|GEN|Genesis|3|6|6|Maar een damp was opgegaan uit de aarde, en bevochtigde de ganse aardbodem.
GEN.2.7|GEN|Genesis|3|7|7|En de Heere God had de mens geformeerd uit het stof der aarde, en in zijn neusgaten geblazen de adem des levens; alzo werd de mens tot een levende ziel.
GEN.2.8|GEN|Genesis|3|8|8|Ook had de Heere God een hof geplant in Eden, tegen het oosten, en Hij stelde aldaar de mens, die Hij geformeerd had.
GEN.2.9|GEN|Genesis|3|9|9|En de Heere God had alle geboomte uit het aardrijk doen spruiten, begeerlijk voor het gezicht, en goed tot spijs; en de boom des levens in het midden van de hof, en de boom der kennis des goeds en des kwaads.
GEN.2.10|GEN|Genesis|3|10|10|En een rivier was voortgaande uit Eden, om deze hof te bewateren; en werd van daar verdeeld, en werd tot vier hoofden.
GEN.2.11|GEN|Genesis|3|11|11|De naam van de eerste rivier is Pison; deze is het, die het ganse land van Havíla omloopt, waar het goud is.
GEN.2.12|GEN|Genesis|3|12|12|En het goud van dit land is goed; daar is ook bedólah, en de steen sardónix.
GEN.2.13|GEN|Genesis|3|13|13|En de naam van de tweede rivier is Gihon; deze is het, die het ganse land Kusch omloopt.
GEN.2.14|GEN|Genesis|3|14|14|En de naam van de derde rivier is Hiddékel; deze is gaande naar het oosten van Assur. En de vierde rivier is Frath.
GEN.2.15|GEN|Genesis|3|15|15|Zo nam de Heere God de mens, en zette hem in de hof van Eden, om die te bouwen, en die te bewaren.
GEN.2.16|GEN|Genesis|3|16|16|En de Heere God gebood de mens, zeggende: Van alle boom van deze hof zult gij vrij eten;
GEN.2.17|GEN|Genesis|3|17|17|Maar van de boom der kennis des goeds en des kwaads, daarvan zult gij niet eten; want ten dage, als gij daarvan eet, zult gij de dood sterven.
GEN.2.18|GEN|Genesis|3|18|18|Ook had de Heere God gesproken: Het is niet goed, dat de mens alleen zij; Ik zal hem een hulp maken, die als tegen hem over zij.
GEN.2.19|GEN|Genesis|3|19|19|Want toen de Heere God uit de aarde al het gedierte des velds, en al het gevogelte des hemels gemaakt had, zo bracht Hij die tot Adam, om te zien, hoe hij ze noemen zou; en zoals Adam alle levende ziel noemen zou, dat zou zijn naam zijn.
